ticker,industry,sector
KSS,Department Stores,Consumer Discretionary
KT,Telecom Services,Communication Services
KTCC,Computer Hardware,Information Technology
KTOS,Aerospace & Defense,Industrials
KUBTF,Farm & Heavy Construction Machinery,Industrials
KUBTY,Farm & Heavy Construction Machinery,Industrials
KWR,Specialty Chemicals,Materials
KYCCF,Scientific & Technical Instruments,Information Technology
KYOCY,Conglomerates,Industrials
L.TO,Grocery Stores,Consumer Staples
LAD,Auto & Truck Dealerships,Consumer Discretionary
LAKE,Apparel Manufacturing,Consumer Discretionary
LAMR,REIT—Specialty,Real Estate
LANC,Packaged Foods,Consumer Staples
LBLCF,Grocery Stores,Consumer Staples
LBTYA,Telecom Services,Communication Services
LBTYB,Telecom Services,Communication Services
LBTYK,Telecom Services,Communication Services
LCII,Recreational Vehicles,Consumer Discretionary
LCUT,"Furnishings, Fixtures & Appliances",Consumer Discretionary
LDOS,Information Technology Services,Information Technology
LECO,Tools & Accessories,Industrials
LEE,Publishing,Communication Services
LEG,"Furnishings, Fixtures & Appliances",Consumer Discretionary
LEN,Residential Construction,Consumer Discretionary
LFCR,Drug Manufacturers—Specialty & Generic,Health Care
LFUS,Electronic Components,Information Technology
LFVN,Packaged Foods,Consumer Staples
LGND,Biotechnology,Health Care
LH,Diagnostics & Research,Health Care
LHX,Aerospace & Defense,Industrials
LIF.TO,Steel,Materials
LII,Building Products & Equipment,Industrials
LIN,Specialty Chemicals,Materials
LKQ,Auto Parts,Consumer Discretionary
LLY,Drug Manufacturers—General,Health Care
LMAT,Medical Instruments & Supplies,Health Care
LMT,Aerospace & Defense,Industrials
LNF.TO,Specialty Retail,Consumer Discretionary
LNN,Farm & Heavy Construction Machinery,Industrials
LNR.TO,Auto Parts,Consumer Discretionary
LNT,Utilities—Regulated Electric,Utilities
LNVGY,Computer Hardware,Information Technology
LNW,Gambling,Consumer Discretionary
LOGI,Computer Hardware,Information Technology
LOPE,Education & Training Services,Consumer Staples
LOW,Home Improvement Retail,Consumer Discretionary
LPL,Consumer Electronics,Information Technology
LPX,Building Products & Equipment,Industrials
LRCX,Semiconductor Equipment & Materials,Information Technology
LRLCY,Household & Personal Products,Consumer Staples
LRN,Education & Training Services,Consumer Staples
LSI,REIT—Industrial,Real Estate
LSTR,Integrated Freight & Logistics,Industrials
LTC,REIT—Healthcare Facilities,Real Estate
LULU,Apparel Retail,Consumer Discretionary
LUMN,Telecom Services,Communication Services
LUN.TO,Copper,Materials
LUNMF,Copper,Materials
LUV,Airlines,Industrials
LVMHF,Luxury Goods,Consumer Discretionary
LVMUY,Luxury Goods,Consumer Discretionary
LWAY,Packaged Foods,Consumer Staples
LXP,REIT—Industrial,Real Estate
LYB,Specialty Chemicals,Materials
LYTS,Electronic Components,Information Technology
LZAGY,Diagnostics & Research,Health Care
LZB,"Furnishings, Fixtures & Appliances",Consumer Discretionary
M,Department Stores,Consumer Discretionary
MA,Credit Services,Financials
MAA,REIT—Residential,Real Estate
MAC,REIT—Retail,Real Estate
MAL.TO,Aerospace & Defense,Industrials
MAN,Staffing & Employment Services,Industrials
MANH,Software—Application,Information Technology
MAR,Lodging,Consumer Discretionary
MARUY,Conglomerates,Industrials
MAS,Building Products & Equipment,Industrials
MASI,Medical Devices,Health Care
MAT,Leisure,Consumer Discretionary
MATV,Specialty Chemicals,Materials
MATW,Conglomerates,Industrials
MATX,Marine Shipping,Industrials
MAXR.TO,Communication Equipment,Information Technology
MBGAF,Auto Manufacturers,Consumer Discretionary
MBGYY,Auto Manufacturers,Consumer Discretionary
MCD,Restaurants,Consumer Discretionary
MCHP,Semiconductors,Information Technology
MCK,Medical Distribution,Health Care
MCO,Financial Data & Stock Exchanges,Financials
